,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
95,1,64,1,1,2,1,4,0,52,4,3,1709.0
96,1,45,1,3,2,1,1,0,35,4,2,3454.0
97,1,53,1,3,1,1,1,0,35,3,2,3789.0
98,1,56,1,3,0,1,0,0,50,2,0,9689.0
99,0,47,1,2,6,1,3,0,37,3,3,5449.0
100,1,49,0,3,0,2,5,0,43,4,0,23032.0
101,1,41,0,3,6,1,5,3,34,3,3,34516.0
102,1,53,1,3,2,1,0,0,34,2,2,2940.0
103,1,44,0,2,2,2,4,0,32,3,3,3031.0
104,1,44,1,3,3,3,2,0,25,3,0,1862.0
105,1,43,0,4,4,1,4,0,33,3,3,8358.0
106,1,53,1,2,4,2,0,0,36,1,2,34516.0
107,1,44,1,1,5,1,2,0,36,2,3,14450.0
108,1,62,0,1,6,1,4,0,56,0,0,1438.3
109,1,54,1,4,6,0,0,0,36,3,2,33791.0
110,1,57,1,4,2,1,2,0,39,3,0,8466.0
111,1,42,1,3,6,1,2,0,36,3,3,15088.0
112,1,42,1,4,3,0,2,0,36,1,2,3263.0
113,1,54,0,0,5,1,4,0,36,2,2,1494.0
114,1,48,1,3,2,2,3,0,35,1,0,13551.0
115,1,49,1,1,2,2,3,0,36,2,2,18886.0
116,1,52,1,3,3,3,3,0,48,2,0,11976.0
117,1,50,1,3,3,2,3,0,39,1,4,9964.0
118,1,49,1,1,1,1,2,0,36,6,3,24159.0
119,1,53,0,2,3,1,4,0,44,2,3,5362.0
120,1,50,1,2,2,2,0,0,36,2,2,34516.0
121,1,55,0,1,1,1,4,0,36,1,0,3174.0
122,1,53,1,1,3,1,3,0,47,2,2,12262.0
123,1,47,0,3,3,2,1,0,41,3,3,3788.0
124,1,55,1,2,0,2,0,3,42,3,2,34516.0
125,1,47,1,3,2,2,2,0,36,2,2,2926.0
126,1,58,1,4,2,2,0,0,52,1,0,32090.0
127,0,53,1,2,2,1,3,0,41,3,2,11669.0
128,1,52,1,2,3,2,1,0,45,1,2,13532.0
129,1,50,0,1,5,3,4,3,36,2,2,11888.0
130,1,42,0,1,2,1,4,0,36,1,2,2393.0
131,1,43,1,4,6,1,1,0,39,1,2,6111.0
132,1,57,1,4,2,1,3,0,46,2,3,19270.0
133,1,52,1,1,2,1,3,0,43,1,4,3710.0
134,1,47,1,2,1,2,4,0,37,1,3,3235.0
135,1,44,0,3,2,2,1,0,38,1,0,11749.0
136,1,53,1,2,3,0,2,0,36,3,2,7753.0
137,1,45,1,4,0,0,2,0,40,1,0,10408.0
138,1,63,0,1,0,1,5,0,36,2,3,3967.0
139,1,39,0,2,4,2,4,0,27,2,2,6205.0
140,0,48,0,5,3,1,4,0,38,3,3,8025.0
141,1,51,1,1,6,2,0,0,42,2,3,9036.0
142,1,54,1,4,2,1,3,0,34,3,2,14926.0
143,1,59,0,1,2,2,4,0,36,2,3,6335.0
144,0,59,1,1,0,2,2,0,53,3,3,14979.0
145,0,48,0,4,5,1,4,0,38,2,3,2732.0
146,1,41,0,2,2,2,4,0,32,3,2,2250.0
147,1,55,1,2,2,1,0,0,50,2,0,10916.0
148,1,47,0,4,2,1,5,0,36,1,3,5349.0
149,1,41,1,2,3,1,3,0,24,1,3,9366.0
150,1,40,1,3,3,2,3,0,28,1,0,21617.0
151,1,68,1,1,2,1,5,0,56,2,3,13860.0
152,1,50,0,1,2,2,1,3,31,2,3,18386.0
153,1,47,1,4,5,2,2,0,41,2,2,2405.0
154,1,53,0,1,0,1,4,0,47,2,3,2154.0
155,1,42,0,5,6,1,1,0,36,3,3,2038.0
156,1,48,0,4,3,2,1,0,38,1,3,8135.0
157,1,49,1,1,1,1,0,0,38,1,3,9364.0
158,1,44,0,2,5,1,5,3,35,3,2,32643.0
159,1,43,0,4,2,0,4,0,34,3,1,3195.0
160,1,56,1,0,3,1,3,0,43,2,1,2852.0
161,1,59,0,1,0,2,5,0,36,3,3,4224.0
162,1,46,1,1,5,1,2,0,36,2,2,20459.0
163,1,47,0,4,6,0,4,0,41,5,3,3482.0
164,1,50,0,4,5,1,1,0,40,2,3,3065.0
165,1,51,0,3,5,1,4,0,43,1,2,2185.0
166,1,47,0,3,5,1,4,0,36,1,0,1611.0
167,1,58,0,4,5,1,4,0,47,3,3,2822.0
168,0,46,1,5,2,2,3,0,33,3,3,32975.0
169,1,53,1,3,3,1,2,0,47,2,2,1438.3
170,1,45,0,4,5,0,5,0,36,3,3,15875.0
171,1,52,0,1,3,1,4,0,45,3,3,6703.0
172,0,53,1,2,6,1,3,0,36,2,1,3212.0
173,1,50,1,2,3,1,3,3,45,1,3,34516.0
174,1,41,0,3,3,1,1,0,36,1,2,9797.0
175,1,45,0,5,2,0,1,0,36,2,2,10400.0
176,1,53,1,3,5,1,3,0,42,1,2,26792.0
177,1,67,0,1,2,1,4,0,56,3,2,3006.0
178,1,57,0,2,5,2,1,3,36,3,0,19482.0
179,1,59,0,1,5,1,1,0,36,2,3,3356.0
180,1,45,1,2,5,1,1,0,34,2,1,5771.0
181,1,51,1,3,2,1,3,0,36,2,3,11106.0
182,1,59,0,1,5,1,4,0,54,3,0,2890.0
183,1,53,1,1,2,1,2,0,45,2,2,3380.0
184,1,47,1,3,2,1,2,0,36,1,2,21331.0
185,1,49,0,3,5,2,5,0,38,2,1,12860.0
186,1,49,1,3,4,2,3,0,33,1,0,6278.0
187,1,60,0,0,0,2,4,0,55,1,3,1438.3
188,1,50,0,2,3,1,4,0,36,1,2,9355.0
189,1,41,0,2,4,1,5,0,31,1,3,20758.0
190,1,57,1,1,2,1,3,0,47,3,1,14612.0
191,1,43,1,4,2,3,3,0,27,2,0,27259.0
192,1,57,0,3,2,1,4,0,47,2,3,6347.0
193,1,54,1,3,1,1,0,0,41,3,0,21592.0
194,1,51,0,5,4,1,4,0,44,1,1,3449.0
195,1,47,0,3,3,1,4,0,34,1,2,6028.0
196,1,41,1,0,3,3,0,0,36,2,3,18214.0
197,1,53,1,3,5,1,3,0,43,3,1,16393.0
198,0,68,1,0,3,1,4,0,52,3,2,1438.3
199,1,59,1,1,0,1,2,0,36,1,2,7871.0
200,1,48,1,4,6,1,3,0,36,3,0,5288.0
201,1,44,1,5,2,1,2,0,32,5,3,11376.0
202,1,48,1,3,0,1,3,0,41,5,3,12302.0
203,1,47,1,4,2,1,2,3,33,2,1,34516.0
204,1,47,1,2,2,1,2,3,32,2,2,34516.0
205,1,43,0,1,3,0,4,3,35,2,2,10514.0
206,0,55,0,2,2,1,4,0,43,4,3,1438.3
207,0,59,1,2,4,1,2,0,46,3,3,1438.3
208,1,63,1,1,2,1,1,0,56,1,2,2619.0
209,1,58,1,2,0,1,0,0,53,3,0,24407.0
210,1,53,0,2,3,1,4,0,36,1,2,2377.0
211,1,59,1,0,6,3,3,3,40,2,3,34516.0
212,1,52,1,3,2,1,0,0,47,3,3,11086.0
213,1,48,1,3,3,2,2,0,36,2,2,11432.0
214,1,43,1,4,3,1,1,0,36,3,2,13258.0
215,1,48,1,2,0,2,4,0,36,2,3,2571.0
216,1,43,0,4,2,2,4,0,31,2,0,5781.0
217,1,44,1,4,6,1,2,0,30,1,2,7872.0
218,1,41,1,3,3,1,3,0,35,1,2,34516.0
219,1,44,0,3,5,0,4,3,38,1,3,11127.0
220,1,50,1,2,6,2,1,0,43,1,3,1857.0
221,1,60,0,1,5,1,4,0,36,1,0,1913.0
222,1,44,1,4,2,2,3,0,24,3,0,3839.0
223,1,48,0,3,2,0,1,0,39,2,3,2115.0
224,1,44,0,2,2,0,4,0,27,2,2,1438.3
225,1,41,1,2,3,2,3,0,28,3,0,27756.0
226,1,45,1,3,0,2,2,0,32,1,2,1438.3
227,1,47,0,2,5,0,4,3,34,4,2,13878.0
228,1,51,0,2,2,1,4,0,36,1,3,3106.0
229,1,51,1,2,2,1,0,0,44,3,3,34516.0
230,0,60,0,1,5,1,1,0,50,4,3,1438.3
231,1,57,1,2,6,1,3,0,46,3,0,18871.0
232,1,41,1,5,2,2,0,0,29,2,2,5207.0
233,1,44,1,3,4,0,3,0,36,2,2,17965.0
234,1,43,1,1,0,2,2,0,37,3,3,2733.0
235,1,55,1,2,0,1,2,0,48,3,2,8863.0
236,0,52,1,1,5,1,3,0,36,3,3,1857.0
237,1,44,1,3,2,3,3,0,33,3,3,34516.0
238,1,41,1,2,5,1,1,0,30,3,3,11107.0
239,1,44,1,4,6,2,3,0,34,1,2,21573.0
240,0,53,0,2,6,1,4,0,33,3,3,2859.0
241,1,39,1,2,3,2,3,0,36,2,2,5269.0
242,0,49,1,5,0,1,1,0,45,2,3,1438.3
243,0,45,0,2,0,1,4,0,36,3,2,3387.0
244,1,54,1,2,2,1,3,0,46,2,3,1982.0
245,1,49,1,3,5,2,3,0,43,2,2,4645.0
246,1,46,0,3,1,2,5,0,36,3,2,2189.0
247,0,46,1,4,3,1,0,0,30,3,3,2442.0
248,1,47,1,3,2,1,2,0,38,1,2,21304.0
249,1,44,1,2,1,2,2,0,36,1,2,7577.0
250,1,50,1,3,4,2,0,0,31,1,2,3234.0
251,1,73,1,0,3,1,1,0,36,3,2,4469.0
252,1,56,1,3,6,3,1,0,46,3,4,2910.0
253,0,59,1,0,3,2,1,0,48,4,3,3616.0
254,1,70,1,0,3,1,4,0,56,2,3,3252.0
255,1,55,0,2,3,1,4,0,36,3,3,2358.0
256,1,43,1,4,6,2,2,0,36,1,0,22322.0
257,1,45,1,1,5,2,0,0,39,2,2,3133.0
258,1,45,0,2,5,2,1,0,35,3,0,3540.0
259,1,40,1,1,2,1,1,0,23,3,2,6990.0
260,1,36,1,2,0,3,3,0,22,2,3,34516.0
261,0,59,0,0,4,1,1,0,40,4,1,1438.3
262,1,43,1,4,6,1,2,0,35,3,2,24396.0
263,1,46,0,1,6,1,4,0,36,3,2,2474.0
264,1,41,1,2,5,1,1,0,32,1,3,5214.0
265,1,51,0,2,2,1,4,0,46,2,2,5207.0
266,1,51,0,3,6,3,4,0,25,2,2,9512.0
267,1,43,0,4,2,0,5,0,23,3,2,3187.0
268,0,64,0,0,3,1,1,0,53,3,3,3353.0
269,1,54,1,5,2,1,2,0,38,3,3,2290.0
270,1,48,1,3,6,2,1,0,43,1,3,5279.0
271,1,40,1,2,5,0,2,0,29,3,0,23603.0
272,1,57,1,0,5,1,1,0,45,2,2,2601.0
273,1,45,1,4,2,2,3,0,40,3,0,6363.0
274,1,41,1,3,3,2,3,0,36,3,3,8029.0
275,1,42,0,4,5,1,4,0,31,2,2,2410.0
276,0,45,1,2,2,2,2,0,36,1,2,3401.0
277,1,42,0,4,5,1,4,0,23,2,0,2260.0
278,1,47,1,4,5,0,3,0,30,2,2,17682.0
279,1,48,0,4,3,1,1,0,42,1,3,4206.0
280,1,43,1,1,2,2,3,3,37,3,2,34516.0
281,1,41,1,4,3,3,3,0,36,3,0,23018.0
282,1,54,0,1,5,1,1,0,44,2,3,5556.0
283,0,54,0,2,3,1,5,0,44,3,1,6094.0
284,1,61,1,0,2,1,1,0,52,1,2,2939.0
285,1,61,1,0,5,1,3,0,48,1,0,5362.0
286,0,48,1,2,3,1,0,0,36,3,3,27126.0
287,1,45,0,4,2,2,4,0,36,3,2,3342.0
288,0,54,0,4,2,1,5,0,40,2,2,2532.0
289,1,54,0,3,1,1,5,0,46,2,3,1900.0
290,1,44,1,3,2,2,2,0,37,3,2,14546.0
291,1,50,0,4,1,2,5,0,36,3,2,2521.0
292,1,55,1,2,1,1,2,0,36,4,3,16427.0
293,1,48,1,2,2,3,1,0,36,1,2,13068.0
294,1,45,1,2,0,2,2,0,33,3,0,23218.0
295,1,60,1,0,3,1,1,0,36,1,3,3281.0
296,1,55,1,2,3,1,1,0,47,3,2,3096.0
297,1,62,0,0,3,1,1,0,52,2,3,2052.0
298,1,38,0,1,3,3,4,0,30,3,0,1438.3
299,1,46,1,3,3,2,1,0,39,3,2,9432.0
300,1,50,1,0,3,2,0,3,45,2,3,14938.0
301,1,45,1,2,5,1,2,0,36,3,2,2221.0
302,1,47,1,3,4,0,2,0,37,3,0,5731.0
303,1,48,1,4,0,1,2,1,33,2,3,34516.0
304,1,35,1,3,5,1,2,0,22,2,2,6985.0
305,1,51,1,2,2,1,0,0,42,3,0,24221.0
306,1,36,0,3,3,1,5,0,24,1,1,15439.0
307,1,47,1,4,2,2,3,0,36,3,2,21637.0
308,1,52,1,2,2,2,0,0,37,3,2,14543.0
309,1,43,0,4,5,1,4,0,36,1,1,9684.0
310,1,63,1,2,3,1,1,0,36,2,2,5007.0
311,1,61,1,0,2,1,2,0,54,2,0,1616.0
312,1,53,1,2,5,2,2,0,40,2,2,19116.0
313,1,53,0,3,2,1,4,0,47,6,2,2759.0
314,0,57,1,3,2,1,0,0,38,3,3,8249.0
315,1,38,0,2,2,2,5,0,31,3,2,14041.0
316,1,53,1,3,3,1,2,0,43,3,2,5264.0
317,1,63,0,0,6,1,4,0,54,2,1,2420.0
318,1,49,0,4,3,1,4,0,43,2,0,2826.0
319,1,45,1,2,3,1,3,0,34,5,2,12518.0
320,1,67,1,0,2,1,1,0,56,2,1,5876.0
321,1,48,1,3,2,2,3,3,37,2,3,34516.0
322,1,51,0,2,5,0,4,0,38,1,2,9648.0
323,1,52,1,2,3,2,3,3,40,3,3,34516.0
324,1,55,0,2,5,1,5,0,35,3,0,3025.0
325,1,34,1,3,3,1,2,0,26,3,3,3265.0
326,1,56,1,1,5,1,0,0,36,2,2,6041.0
327,1,44,0,2,4,1,4,0,36,3,2,2293.0
328,1,47,1,3,4,3,3,0,36,2,2,13399.0
329,1,46,0,3,6,1,4,0,38,3,3,4317.0
330,1,43,0,3,2,2,1,0,29,2,0,3378.0
331,1,50,0,1,2,2,4,0,36,1,3,5012.0
332,1,38,0,4,5,2,4,0,30,1,0,2569.0
333,1,53,0,1,2,2,4,0,45,1,2,3471.0
334,1,43,1,5,2,0,0,3,31,3,3,34516.0
335,1,53,1,1,3,1,0,0,36,3,2,3312.0
336,1,56,0,1,2,1,4,0,38,3,3,2578.0
337,0,54,1,2,6,1,1,0,44,3,2,2902.0
338,1,57,0,3,3,1,4,0,39,2,1,2742.0
339,1,62,1,1,3,1,4,0,53,3,3,2077.0
340,1,46,0,4,2,2,4,0,40,1,2,6265.0
341,1,49,1,2,5,1,2,0,44,3,0,7819.0
342,1,52,1,3,2,2,3,0,42,3,3,2731.0
343,0,58,1,1,5,1,1,0,36,4,3,1438.3
344,1,54,1,0,3,1,3,0,36,1,2,16286.0
345,1,49,1,1,2,1,0,0,39,2,3,34516.0
346,1,58,0,3,3,1,4,0,47,1,0,2609.0
347,1,52,1,2,3,2,2,0,45,3,2,7567.0
348,1,41,1,5,3,1,2,0,33,3,3,22770.0
349,1,62,0,0,5,1,4,0,50,1,2,3791.0
350,1,54,1,2,2,1,4,0,39,4,2,2702.0
351,1,40,0,3,3,0,4,0,35,1,3,2555.0
352,1,43,1,3,2,1,3,0,26,3,2,2355.0
353,1,53,0,2,2,2,1,0,42,2,0,5332.0
354,1,55,1,1,5,2,1,0,49,3,2,1443.0
355,1,46,1,4,2,2,2,0,39,2,3,10741.0
356,1,41,1,1,5,1,2,0,25,2,0,7984.0
357,1,49,1,3,5,2,2,0,32,2,2,18584.0
358,1,61,0,0,2,1,5,0,56,1,3,5585.0
359,1,46,1,2,5,1,3,0,38,3,2,34516.0
360,1,50,0,1,5,1,4,0,43,3,4,1438.3
361,1,40,1,2,2,2,3,0,24,1,0,2478.0
362,1,51,1,4,3,2,0,0,46,3,3,34516.0
363,1,50,0,2,2,1,1,0,44,2,3,2339.0
364,1,47,0,2,2,1,4,0,36,3,2,2726.0
365,1,43,1,4,6,1,0,0,39,3,3,14881.0
366,1,36,0,4,2,1,1,0,36,3,3,1628.0
367,1,47,0,2,2,1,4,0,34,2,2,3156.0
368,1,46,0,2,2,2,4,0,41,3,0,4745.0
369,1,46,1,2,3,1,0,0,36,3,2,19727.0
370,1,52,1,0,5,1,2,0,36,3,2,22720.0
371,1,43,1,4,6,1,1,0,36,3,0,8129.0
372,1,40,0,4,2,2,4,0,27,2,3,3751.0
373,1,54,0,4,3,1,4,0,36,5,3,1594.0
374,1,55,0,1,3,2,4,0,43,2,0,2569.0
375,1,49,0,4,4,2,5,0,44,3,2,18206.0
376,1,45,1,4,3,1,1,0,34,3,3,3104.0
377,1,49,1,3,2,1,1,0,41,3,2,2406.0
378,1,63,1,1,5,1,3,0,36,2,3,24571.0
379,1,40,0,3,3,2,4,1,36,2,3,15534.0
380,1,41,0,2,2,1,4,3,33,2,0,12301.0
381,1,37,1,4,2,1,3,0,26,2,3,2846.0
382,1,58,1,2,5,3,0,0,49,2,3,9788.0
383,1,55,1,2,3,1,2,0,36,3,3,7231.0
384,1,53,0,1,3,1,4,0,48,3,2,2324.0
385,1,57,1,2,2,1,3,0,40,2,3,12208.0
386,0,43,1,4,4,3,3,0,30,5,3,5639.0
387,1,58,1,1,2,1,2,0,46,3,2,10021.0
388,1,64,1,0,6,1,4,0,56,1,0,2215.0
389,1,54,0,2,2,1,4,0,44,2,3,2027.0
390,1,53,1,2,2,1,2,0,47,2,2,6363.0
391,1,39,0,3,0,2,4,0,25,1,2,3920.0
392,1,56,1,3,3,1,2,0,36,1,3,9226.0
393,1,54,0,4,6,0,4,0,49,1,1,9376.0
394,1,59,0,1,4,1,1,0,46,3,3,1944.0
395,1,42,1,3,5,2,1,0,36,1,0,9599.0
396,1,42,1,4,2,1,2,3,28,1,2,28202.0
397,1,43,1,3,0,3,3,0,39,3,1,24850.0
398,1,55,1,0,3,1,0,0,49,3,3,3805.0
399,1,52,1,1,5,2,3,0,37,2,2,2733.0
400,1,46,1,1,5,3,1,0,27,3,3,12781.0
401,0,57,1,2,5,1,0,0,40,3,3,3106.0
402,1,48,1,3,0,1,3,0,42,3,0,7477.0
403,1,45,1,4,6,1,0,0,33,1,3,34516.0
404,1,48,1,2,3,1,0,0,36,5,2,29963.0
405,1,47,1,1,2,2,1,0,36,3,0,6509.0
406,0,42,1,3,0,1,2,0,34,3,3,13450.0
407,1,41,1,2,2,3,2,3,36,2,0,27000.0
408,1,51,1,4,0,1,0,3,31,2,1,34516.0
409,1,55,0,2,2,2,4,0,47,3,2,6347.0
410,1,67,1,1,5,1,1,0,49,3,2,3106.0
411,1,39,1,1,2,1,2,0,31,1,1,2536.0
412,1,54,1,3,4,2,2,0,35,3,0,13048.0
413,1,55,0,2,6,1,4,0,37,3,1,2453.0
414,1,47,1,3,3,1,1,3,36,2,2,16138.0
415,1,49,1,2,4,1,2,0,38,2,0,8077.0
416,0,42,0,2,2,1,4,0,23,3,3,1929.0
417,1,57,1,2,6,2,3,0,36,3,2,3127.0
418,1,44,1,5,5,1,2,0,36,3,2,8645.0
419,1,56,1,3,6,2,2,0,49,1,3,1438.3
420,0,49,0,3,2,1,4,0,38,3,2,2185.0
421,1,45,1,3,2,2,3,0,32,2,2,24487.0
422,1,63,1,0,3,1,2,0,36,2,3,2567.0
423,1,44,1,3,2,2,3,0,33,3,3,4131.0
424,1,44,0,4,0,1,4,3,37,2,2,10790.0
425,1,40,1,3,3,1,1,0,33,3,3,6884.0
426,0,39,1,2,5,2,2,0,36,3,3,13961.0
427,1,42,1,4,3,1,3,0,30,1,0,29801.0
428,1,54,1,3,3,1,0,0,43,1,1,13219.0
429,0,58,0,4,6,1,4,0,46,3,3,2536.0
430,1,46,0,4,2,0,4,0,36,3,1,9478.0
431,1,47,0,4,6,0,1,0,34,1,2,3502.0
432,1,67,0,0,6,1,5,0,56,3,3,10509.0
433,1,50,0,2,0,0,4,0,36,3,0,1491.0
434,1,55,1,0,3,0,2,0,46,1,2,9734.0
435,1,46,0,2,2,1,1,0,22,1,3,2305.0
436,1,47,0,4,5,1,1,0,36,1,3,14241.0
437,1,36,0,2,6,1,1,0,25,1,2,4789.0
438,1,40,1,4,1,0,2,0,34,2,3,23138.0
439,1,57,1,2,6,2,3,0,38,1,3,23008.0
440,1,48,1,1,6,0,3,0,36,1,0,3131.0
441,1,58,0,3,2,1,4,0,53,3,2,5798.0
442,1,48,1,3,2,2,1,0,36,2,3,6880.0
443,1,48,1,3,2,3,3,2,41,2,2,34516.0
444,1,53,0,2,0,1,1,0,34,2,1,2075.0
445,1,50,1,2,2,1,3,0,44,3,0,4589.0
446,0,52,0,1,2,2,4,0,40,2,2,2317.0
447,0,53,0,2,5,2,4,0,45,1,1,1981.0
448,1,56,0,1,2,2,1,0,47,2,1,6038.0
449,1,44,1,5,6,2,3,0,32,3,2,14910.0
450,1,49,1,3,3,1,3,0,39,3,2,29659.0
451,0,54,1,2,2,1,2,0,42,3,2,4320.0
452,1,39,0,1,6,2,1,0,36,1,3,11213.0
453,1,39,0,3,5,0,5,0,29,1,2,26181.0
454,1,41,0,4,3,2,4,0,31,1,0,5773.0
455,0,53,1,2,5,1,3,0,36,3,3,4503.0
456,1,47,1,3,5,1,3,0,36,2,2,29770.0
457,1,46,0,2,4,1,4,0,28,1,1,5014.0
458,1,53,0,1,3,1,4,0,47,1,2,3445.0
459,1,60,1,1,2,1,3,0,50,2,2,23412.0
460,1,59,0,0,2,2,4,0,46,1,2,3044.0
461,1,38,1,1,6,2,2,0,29,2,1,14596.0
462,1,56,1,4,5,2,4,0,36,2,2,3864.0
463,0,35,1,3,4,3,3,0,29,1,3,17030.0
464,1,50,1,3,2,2,2,0,44,2,3,23090.0
465,1,53,1,2,4,3,3,0,36,2,0,29205.0
466,1,63,1,2,2,1,2,0,49,2,3,14035.0
467,0,43,0,2,5,2,4,0,24,3,2,2962.0
468,1,46,1,2,6,1,3,0,30,3,0,18578.0
469,1,61,1,1,5,2,2,0,46,3,2,2201.0
470,1,37,0,0,4,1,4,0,25,3,2,2061.0
471,1,42,0,5,1,1,5,0,23,2,2,24602.0
472,1,41,1,2,5,0,0,0,29,2,2,15911.0
473,0,56,1,2,0,2,0,0,50,2,3,16867.0
474,1,56,1,3,2,1,2,0,37,3,0,2783.0
475,0,52,0,3,4,2,4,0,47,3,2,2972.0
